eg,en,jo,msa,pa,sy,tn,prompt,response
عارفه إيه اللى غايظنى أكتر ؟,you know what pisses me the most?,عارفة شو اكتر اشي غايظني,هل تعرف ماذا يضايقنى كثيرا ؟؟,بتعرفي شو اكثر اشي غايظني ؟,بتعرف شو أكتر شي غايظني ؟,تعرف شنوى اللي غايظني أكثر ؟,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هل تعرف ماذا يضايقنى كثيرا ؟؟
Source: you know what pisses me the most?
Translation: ",تعرف ماذا يضايقنى كثيرا ؟؟
و من نظرة الشباب الى واخدين الموضوع مجرد تسليه لا غير,and from the point of view of boys who take the subject as just a waste of time not something else,ومن نظرة الشباب الي ميخذين الموضوع بس تسلاية,ومن  نظره هؤلاء الشباب الذين ينظرون الى الامر على انه مجرد تسلية .,ومن وجهة نظر الشباب اللي معتبرين الموضوع بس تسليه,ومن نظرة الشباب الي أخدين الموضع مجرد تسلية مو أكتر,وحسب الشباب الموضوع مضيعة للوقت و اكهو,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ومن  نظره هؤلاء الشباب الذين ينظرون الى الامر على انه مجرد تسلية .
Source: and from the point of view of boys who take the subject as just a waste of time not something else
Translation: ",ومن نظره هؤلاء الشباب الذين ينظرون الى الامر على انه مجرد تسلية.
ممكن ترجع لكتب كتير وتقرا اجتهاد كل شيخ في التفسير,possible you return to many books and read judgments of every sheikh in explanation,ممكن انك ترجع لكثير كتب وترأ اجتهاد كل شيخ بالتفسير,من الممكن أن ترجع الى كتب كثيرة و تقرأ إجتهاد كل شيخ فى التفسير,بتقدر ترجع لكتب التفسير وهي كثيره وتقرأ اجتهاد كل شيخ,ممكن ترجع لكتب كتير وتقرا اجتهاد كل شيخ في التفسير,تنجم ترجع لبرشا كتب و تقرا اجتهاد كل شيخ في التفسير,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.من الممكن أن ترجع الى كتب كثيرة و تقرأ إجتهاد كل شيخ فى التفسير
Source: possible you return to many books and read judgments of every sheikh in explanation
Translation: ",من الممكن أن ترجع الى كتب كثيرة و تقرأ إجتهاد كل شيخ فى التفسير
اه اكيد طبعاا علااء كان احق بس لو انت متااابع كورة كنت عرفت انه مصااب واصا بة شديدة هيقعد شهر واكيد مستوااه هيقل يااكابتن,oh sure Ala' deserved it but if you're a football fan you'd have known that he's strongly wounded and will sit for a month and his level will sure decrease,اه اكيد علاء كان احق بس لو متابع الكرة كنت عرفت انو مصاب اصابة قوية ورح يقعد شهر واكيد رح يقل مستواه,اوه أكيد علاء يستحق هذا ولكن إذا كنت من مشجعي كرة القدم كنت ستعلم أنه قد جرح بشدة وسيجلس لمدة شهر ولذلك سوف ينخفض مستواه,اه اكيد علاء احق منه بس لو انت متابع اخبار كرة القدم لكان عرفت انو علاء اتصاوب وبدو شهر تيرجع وكمان في هالشهر رح يقل مستواه يا كابتن,اي أكيد طبعا علاء كان أحق بس لو أنت متابع طابة كنت عرفت أنه مصاب وأصابة قوية كتير ورح يقعد شهر واكيد مستواه رح ينزل يا كابتن,بالطبيعة علاء يستحق كان جيت اتبع الكورة راك عرفت اللي هو مضروب وضربيو خطيرة ماهوش باش يلعب شهر واكيد مستواه باش يطيح يا كبتن,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.اوه أكيد علاء يستحق هذا ولكن إذا كنت من مشجعي كرة القدم كنت ستعلم أنه قد جرح بشدة وسيجلس لمدة شهر ولذلك سوف ينخفض مستواه
Source: oh sure Ala' deserved it but if you're a football fan you'd have known that he's strongly wounded and will sit for a month and his level will sure decrease
Translation: ",أوه أكيد علاء يستحق هذا ولكن إذا كنت من مشجعي كرة القدم كنت ستعلم أنه قد جرح بشدة وسيجلس لمدة شهر ولذلك سوف ينخفض مستواه
على وشك بس لما عبقري زيي يقف قدام حيوان زيك,"on your face, but when a genius like me stand in a front of an animal like you","تقريبا , بس لما عبقري زيي يوقف قدام حيوان زيك",قد قاربت و لكن عندما يكون عبقرى مثلى يقف امام وغد مثلك,على وشك بس يوم ذكي زيي يقف قدام غبي زيك,على وشك بس لما فهيم متلي بيوقف قدام حيوان متلك,كيفاش واحد عبقري كيفي يقف قدام حيوان كيفك,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.قد قاربت و لكن عندما يكون عبقرى مثلى يقف امام وغد مثلك
Source: on your face, but when a genius like me stand in a front of an animal like you
Translation: ",على وجهك، وإذا كان عبقري مثلي يقف على وجهك، وغدًا مثلك
وتحكيلها حاجات كتير عنك مشاكلك همومك,and tell her  a lot of things about your worrying and problems,واحكيلها كل اشي عن مشاكلك وهمومك,و تخبرها عن العديد من مشاكلك و همومك,وتشكيلها همومك وتقولها شغلات كتيره عنك,وتحكيلها شغلات كتير عنك وعن مشاكلك وهمومك,وتحكيلها برشا حاجات عليك مشاكلك همومك,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و تخبرها عن العديد من مشاكلك و همومك
Source: and tell her  a lot of things about your worrying and problems
Translation: ",و تخبرها عن العديد من مشاكلك و همومك
بوص يااخى الفاضل الغلاء ليس فى الحمه,"look my great brother, the expensive not in the Hama",شوف الغلاء مش في الحمة,انظر  ايها  الاخ  الفاضل  الغلاء ليس  فى  اللحوم .,شوف يااخي الكريم مش بس اللحمه غاليه كل شي غلي,شوف يا أخوي الغلا مو بس باللحمة,شوف يا خويا الغلا موش من السخانة,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.انظر  ايها  الاخ  الفاضل  الغلاء ليس  فى  اللحوم .
Source: look my great brother, the expensive not in the Hama
Translation: ",انظر  ايها  الاخ  الفاضل  الغلاء ليس  فى  اللحوم.
وليه تسكتي للزمن اتكلمي,"and why would you stay silent for time, talk",وليش لتسكتي احكي الي بدك اياه,و لما الصمت لهذا الزمن تكلمى,ليش بتسكتى على حقك احكي,وليش تسكتي للزمن أحكي .,علاش تسكت للوقت تكلم,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و لما الصمت لهذا الزمن تكلمى
Source: and why would you stay silent for time, talk
Translation: ",و لما الصمت لهذا الزمن تكلمى
صدقنى ياباشا لو إتنازلت عن حقى مرة هاتتنازل كتير,Believe me man if I gave up on my right once I will give many times,صدقني لو تنازلت مرة رح اتنازل كتير,صدقنى يا سيدى إذا تنازلت عن حقى لمرة سأتنازل كثيراً,صدقني لو اتنازلت عن حقوقي مره رح اتنازل مرات غيرها,صدقني يا أخ لو إتنازلت عن حقي مرة رح أتنازل على طول,صدقني يا باشا كان إتنازلت على حقي مرة بش نتنازل برشا,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.صدقنى يا سيدى إذا تنازلت عن حقى لمرة سأتنازل كثيراً
Source: Believe me man if I gave up on my right once I will give many times
Translation: ",أما أن لي أمان يا سيد إذا تنازلت عن حقى لمرة سأتنازل كثيراً
وكمان المراه واحدث الازياء,"and also the woman, the latest fashion",وكمان المراة واجدد الازياء,ايضا ً المرأة و أحدث الأزياء,وكمان المرأه واحدث الازياء,وكمان المرأة واجدد الملابس,و زادة المراة و احدث الازياء,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ايضا ً المرأة و أحدث الأزياء
Source: and also the woman, the latest fashion
Translation: ",و أحدث الأزياء و المرأة
ولا عاوزه عسل منك سلام علا الفولى,"in a don't want honey from you, greetings, ""ALA FOULI""","ما بدي منك عسل , سلام , علا الفولي","و لا أريد عسل منك تحياتى ""علاء الفولى""",وما بدي منك عسل سلام علا الفولى,وما بدو عسل منك سلام على الفول,ما نحبش العسل من عندك سلم على الفولي,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و لا أريد عسل منك تحياتى ""علاء الفولى""
Source: in a don't want honey from you, greetings, ""ALA FOULI""
Translation: ","و لا أريد عسل منك تحياتى ""علاء الفولى"""
يا بنى الدكاترة دول فى ملكوت لوحدهم مش بس فى كده لأ فى التصحيح وفى المكرر والملغى والتأخير وحاجات كتير قوى,"my son these doctors are living in their world alone, there is a correction for the repeated, deleted, late and many other things",يا حبيبي هدول الدكاترة عايشين بدنبا لحالهم مش بس هيك لا و بالتصحيح وفي المكرر والملغي والتاخير وكل اشي,يا  ابنى  هؤلاء  الدكاتره   يعيشون  فى  ملكوتهم الخاص .وليس  هذا  كل  شئ .و لكن  فى  عمليه  التصحيح  والمكرر والتأخير  واشياء  كثيره  مثل  ذلك  ...,يا ابني الدكاتره في عالم لحالهم مش بس في هيك كمان في التصليح وفي المكرر والملغى والتأخير وشغلات كثير,يا أبن الدكاترة هدول في ملكوت لوحدهم مو بس في هيك لأفي التصحيح وفي المكرر والملغي والتأخير شغلات كتير كتير,يا ولدي الدكاترة هاذم في كوكب وحدهم مش بتصحيح وإلغاء وتوخير بركة في برشة حاجات أخرى,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.يا  ابنى  هؤلاء  الدكاتره   يعيشون  فى  ملكوتهم الخاص .وليس  هذا  كل  شئ .و لكن  فى  عمليه  التصحيح  والمكرر والتأخير  واشياء  كثيره  مثل  ذلك  ...
Source: my son these doctors are living in their world alone, there is a correction for the repeated, deleted, late and many other things
Translation: ",يا ابني هؤلاء الدكتورات يعيشون في ملكوتهم الخاص ولا هذا كل شئ و لكن في عمليه التصحيح والمكرر والتأخير واشياء كثيره مثل ذلك والكثير من الآخر.
اما بعد,and then,وبعد هيك,أما بعد,اما بعد,وبعدين,اما بعد,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.أما بعد
Source: and then
Translation: ","و ثم
و ثم"
لازم منكش سلبيين على طول الخط وضربينها طبنجه,we shouldn't be negative all the times,لازم ما كنا سلبيين طول الوقت,لا  يجب ان نكون  بهذه  السلبيه  على  طول  الدوام .,مش لازم نكون سلبيين دايما وضاربينها بعرض الحيط,لازم ما نكون سلبين على طول ونضربها بسكينة,لازم مانكنوش سلبيين برشة و ديما,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لا  يجب ان نكون  بهذه  السلبيه  على  طول  الدوام .
Source: we shouldn't be negative all the times
Translation: ",لا يجب ان نكون بهذه السلبيه على طول الدوام
حتي لا يخسرك بسبب ذلك,So that he won't lose you over it.,مشان ما يخسرك بسبب هداك الاشي,حتي لا يخسرك بسبب ذلك,حتى ما يخسرك لهالسبب,حتى لا يخسرك بسبب هالشي,باش ما يخسركش بسبب ذلك,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.حتي لا يخسرك بسبب ذلك
Source: So that he won't lose you over it.
Translation: ",في حين أن يحدث ذلك فينا عليك أن تخسر به حياتك
ولوعه وأسى ... ومش أى حد بيقدر يكتمه ...,"Even if it on my head, not everyone can keep it down.",ولوعة وحزن ... مش اي حد بقدر يخبيه,لوعه وأسى ... ولا يوجد احد يستطيع أن يكتمه ....,ولوعه وحزن ..ومش اي حدا بقدر يكتمه..,وشوق وأسى .... ومو أي حدا بيقدر يخبيه .....,ولوعه وأسى ... وموش أي واحد ينجم يخبيه ...,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لوعه وأسى ... ولا يوجد احد يستطيع أن يكتمه ....
Source: Even if it on my head, not everyone can keep it down.
Translation: ",لوعه وأسى... ولا يوجد احد يستطيع أن يكتمه....
بس ياريت يا جماعة الردود متنكنش بس مشجعة كمان تكون ردود تحتوي على اضافه جديدة او معلومة جديدة متعلقة بالموضوع,"but I wish people that the replies are not only encouraging, but also the replies will contain new addition or new information related to the subject",يا جماعة ما تخلو الردود بس مشجعة خلوها كمان اضافة جديدة ومتعلقة بالموضوع,برجاء من الجميع أن تكون المشاركات ليست فقط مشجعة بل أيضاً تحتوى على إضافة جديدة أو معلومة جديدة متعلقة بالموضوع,يا ريت الردود ما تكون بس تشجيع بتمنى تكون تحتوي على اضافه او معلومه مهمه متعلقة بالموضوع,بس ياربت يا جماعة الردود ما تكون بس مشجعة وكويسه وتكون كمان ردود فيها أضافة جديد أو معلومة جديدة متعلقة بالموضوع .,اما ياريت يا جماعة الردود ماتكونش مشجعة اكهو لازم تكون زادة ردود فيهااضافة جديدة او معلومة جديدة متعلقة بالموضوع,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.برجاء من الجميع أن تكون المشاركات ليست فقط مشجعة بل أيضاً تحتوى على إضافة جديدة أو معلومة جديدة متعلقة بالموضوع
Source: but I wish people that the replies are not only encouraging, but also the replies will contain new addition or new information related to the subject
Translation: ",وأريد أن شاء الله أن شعب العالم أن الإجابات لا يكون بالضرورة مشجعة بل أيضاً تحتوي على إضافة جديدة أو معلومة جديدة متعلقة بالموضوع
ربنا ينصر الاسلام والمسلمين جزاكم الله كل خير,god help the Muslims and Islam,"الله ينصر الاسلام والمسلمين , الله يجزيكم كل خير",ربنا ينصر الإسلام والمسلمين جزاكم الله كل خير,الله ينصر الاسلام والمسلمين الله يعطيكو العافيه,الله ينصر الأسلام والمسلمين يارب الله يجزيكم كل خير,ربي ينصر الاسلام و المسليمين جزاكم الله كل خير,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ربنا ينصر الإسلام والمسلمين جزاكم الله كل خير
Source: god help the Muslims and Islam
Translation: ",ربنا ينصر الإسلام والمسلمين جزاكم الله كل خير
الصراحة هو بيفكرنى بالاسطورة البرازيلى بيليه .,"actually he reminds me about the Brazilian legend ""Beleeh"" .",الصراحة هو بذكرني بالاسطورة البرازيلي بيليه,بكل صراحه انه يذكرنى بالاسطوره البرازيلى بيليه,بصراحة هو بذكرني بالسطوره البرازيلي بيليه,الصراحة هو بيذكرني  بالأسطورة البرازيلية,بصراحة إفكرني ببيلي الاسطورة البرازيلي,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.بكل صراحه انه يذكرنى بالاسطوره البرازيلى بيليه
Source: actually he reminds me about the Brazilian legend ""Beleeh"" .
Translation: ",بكل صراحه انه يذكرنى بالاسطوره البرازيلى بيليه
يعنى بيغتصب جسم المرأه كله,that is rapping the entire body of woman,يعني بغتصب كل جسم المرأة,يغتصب جسم المرأه كله,يعني بغتصب كل جسم المرأه,يعني بيغتصب جسم المرأة كلو,يعني يغتصب بدن لمراء الكل,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.يغتصب جسم المرأه كله
Source: that is rapping the entire body of woman
Translation: ",يغتصب جسم المرأه كله
هبهههوب,Habhoob.,هبهووووب,هبهههوب,هيهههوب,هبههههههههههههههههههههههوب,هبهههوب,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هبهههوب
Source: Habhoob.
Translation: ",هبهههوب.
كمبيوتر ؟,Computer?,كمبيوتر ؟,كمبيوتر ؟,كمبيوتر؟,كمبيوتر ؟,ارديناتور؟,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.كمبيوتر ؟
Source: Computer?
Translation: ",كمبيوتر ؟
يا ترى اكتر حاجه ديقتك واثرت على حياتك وي ا,I`m wondering what's the most thing that bothered you and affected your life,شو اكتر اشي دايقك واثر على حياتك,ما هو أكثر شئ يؤلمك وأثر على حياتك ؟,شو اكثر حاجه ذايقتك واثرت على حياتك ؟,يا ترى شو أكتر شي دايقك واثر في حياتك كتير,زعمة شنوى اكثر حاجة قلقتك و اثرتلك على حيلتك برشا,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ما هو أكثر شئ يؤلمك وأثر على حياتك ؟
Source: I`m wondering what's the most thing that bothered you and affected your life
Translation: ",أنا أتمسك بما هو أكثر شئ يؤلمك وأثر على حياتك؟
السيد دأنا مكتف الولية وحارمها من الخروج ولبس الفساتين وماسك العيال عمال أحفظ فيهم أسماء الصحابة والأحاديث لمّا ريقي نشف .,Mr I am holding the lady and depriving her form getting out and wearing dresses and holding the kids to get them learn the name of the prophets and the talks till my throat was dry,السيد انا مربط المرا وحارمها من الطلعة ولبس الفساتين وماسك الولاد بحفظ فيهم اسماء الصحابة والاحاديث لحتى نشف ريقي,السيد انا كثيرا  ما اضيق الخناق  على  زوجتى  واحرمها  من  الخروج  وارتداء  الفساتين . وكل  همى  هو ان احفظ اطفالى  اسماء الصحابه  والاحاديث .,السيد ما انا مكتف مرتي ومانعها من الطلعه ولبس الفساتين وبحفظ في اولادي اسماء الصحابه تمنه نشف ريقي,السيد أنا مكتف المرأة وحارمها من الطلعة من البيت ولبس الروب وماسك الولاد وعم أحفظهم أسماء الصحابة والأحاديث لحتى ريقي نشف,راني شاد عليها العسة ومانخليهاش تخرج وقاعد نحفض في ولادي في أسماء الصحابة والأحاديث حتى ريقي شاح.,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.السيد انا كثيرا  ما اضيق الخناق  على  زوجتى  واحرمها  من  الخروج  وارتداء  الفساتين . وكل  همى  هو ان احفظ اطفالى  اسماء الصحابه  والاحاديث .
Source: Mr I am holding the lady and depriving her form getting out and wearing dresses and holding the kids to get them learn the name of the prophets and the talks till my throat was dry
Translation: ",سيدي أنا أحدث الأم الذين أقبض عليها وأحفظت عليها ظهرها وأعينها وأراحتها وأعيشت معها حياة طيبة حتى تكون لها أطفال يعيشون بها ويتعلمون اسم النبي والحديث حتى كان جهاتي غادرة
وبعدين إنتا بتسألنى أنا متسأل الى بيعملوا كده,then you are asking i am asking about what they are doing so,"انت بتسألني انا ليش , اسال الي بعملو هيك",ثم انت تسألنى و انا الذى اسال لماذا يفعلوا هكذا,وبعدين ليش بتيال فيي اسال اللي بسووا هيك,وبعدين أنت ليش عم تسألني أسأل الي عم يعملو هيك,ومبعد تسألني شبيهم يعملوا هكا,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ثم انت تسألنى و انا الذى اسال لماذا يفعلوا هكذا
Source: then you are asking i am asking about what they are doing so
Translation: ",ثم انت تسألنى و انا الذى اسال لماذا يفعلوا هكذا
ماحدش يكسب فيا ثواب ويخطفني انا كمان !!,isn't there any body to do me a favor and kidnap me too!!,يا ريت حد يخطفني ويكسب فيا ثواب,هل يوجد احد يعمل بى معروف ويخطفنى أنا أيضا ً !!,الحكاية بطيخ خالص ..,ما حدا بدو يكسب فيها ثواب ويخطفي أنا كمان !!!!!,حد ما يكسب فيا ثواب و يخطفني انا زادة,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هل يوجد احد يعمل بى معروف ويخطفنى أنا أيضا ً !!
Source: isn't there any body to do me a favor and kidnap me too!!
Translation: ",هل يوجد احد يعمل بى معروف ويخطفنى أنا أيضا ً!!هل يوجد احد يعمل بى معروف ويخطفنى أنا أيضا ً!!
